Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Conference
Tennessee,13,11-2,945,6832,7.23,78,525.5,SEC
Washington,13,11-2,975,6705,6.88,65,515.8,Pac-12
Southern California,14,11-3,988,7092,7.18,73,506.6,Pac-12
UCLA,13,9-4,934,6547,7.01,65,503.6,Pac-12
Georgia,15,15-0,1049,7517,7.17,75,501.1,SEC
Oregon,13,10-3,940,6507,6.92,64,500.5,Pac-12
Western Ky.,14,9-5,1037,6962,6.71,58,497.3,C-USA
Ole Miss,13,8-5,1001,6453,6.45,55,496.4,SEC
Ohio St.,13,11-2,876,6379,7.28,72,490.7,Big Ten
Florida St.,13,10-3,904,6295,6.96,61,484.2,ACC
Alabama,13,11-2,896,6202,6.92,63,477.1,SEC
UTSA,14,11-3,1046,6664,6.37,62,476.0,C-USA
Oklahoma,13,6-7,988,6162,6.24,55,474.0,Big 12
SMU,13,7-6,1005,6147,6.12,62,472.8,AAC
Arkansas,13,7-6,962,6128,6.37,53,471.4,SEC
UCF,14,9-5,1066,6574,6.17,57,469.6,AAC
Utah,14,10-4,1006,6536,6.5,69,466.9,Pac-12
Ga. Southern,13,6-7,981,6057,6.17,51,465.9,Sun Belt
North Carolina,14,9-5,1034,6479,6.27,62,462.8,ACC
Arizona,12,5-7,811,5543,6.83,45,461.9,Pac-12
North Texas,14,7-7,968,6465,6.68,58,461.8,C-USA
Texas Tech,13,8-5,1094,5998,5.48,54,461.4,Big 12
East Carolina,13,8-5,906,5994,6.62,53,461.1,AAC
Michigan,14,13-1,970,6423,6.62,65,458.8,Big Ten
Houston,13,8-5,902,5926,6.57,57,455.8,AAC
App State,12,6-6,833,5464,6.56,55,455.3,Sun Belt
TCU,15,13-2,1020,6825,6.69,70,455.0,Big 12
LSU,14,10-4,997,6344,6.36,62,453.1,SEC
James Madison,11,8-3,807,4977,6.17,51,452.5,Sun Belt
Wake Forest,13,8-5,978,5751,5.88,60,442.4,ACC
Tulane,14,12-2,936,6179,6.6,64,441.4,AAC
Kansas,13,6-7,817,5702,6.98,61,438.6,Big 12
UAB,13,7-6,849,5697,6.71,47,438.2,C-USA
Penn St.,13,11-2,911,5637,6.19,57,433.6,Big Ten
Texas,13,8-5,875,5584,6.38,51,429.5,Big 12
BYU,13,8-5,830,5542,6.68,51,426.3,FBS Independent
Florida,13,6-7,838,5513,6.58,47,424.1,SEC
South Alabama,13,10-3,953,5508,5.78,47,423.7,Sun Belt
Memphis,13,7-6,947,5478,5.78,53,421.4,AAC
Ohio,14,10-4,957,5897,6.16,51,421.2,MAC
Kansas St.,14,10-4,958,5863,6.12,53,418.8,Big 12
Kent St.,12,5-7,866,5007,5.78,40,417.2,MAC
Georgia St.,12,4-8,875,5005,5.72,44,417.1,Sun Belt
Duke,13,9-4,884,5404,6.11,51,415.7,ACC
Baylor,13,6-7,927,5380,5.8,53,413.8,Big 12
Tulsa,12,5-7,843,4942,5.86,45,411.8,AAC
Fla. Atlantic,12,5-7,870,4938,5.68,44,411.5,C-USA
Clemson,14,11-3,1026,5744,5.6,55,410.3,ACC
Louisville,13,8-5,886,5280,5.96,38,406.2,ACC
Pittsburgh,13,9-4,912,5275,5.78,43,405.8,ACC
